1040 1040 375 10000 3319 3345 3130 3156 3255 3281
1120 1040 375 10000 3119 3147 2949 2978 3067 3096
1200 1040 375 10000 3157 3178 2984 3005 3096 3117
1280 1040 375 10000 3219 3245 3065 3087 3167 3193
1360 1040 375 10000 3261 3280 3082 3099 3196 3214
1440 1040 375 10000 3287 3311 3091 3114 3221 3244
1520 1040 375 10000 3269 3291 3096 3117 3199 3221
1600 1040 375 10000 3352 3370 3151 3166 3292 3309
1680 1040 375 10000 3274 3305 3110 3140 3222 3252
1760 1040 375 10000 3325 3347 3141 3160 3265 3287
1840 1040 375 10000 3372 3406 3176 3209 3312 3346
1920 1040 375 10000 3342 3365 3155 3178 3274 3297
2000 1040 375 10000 3310 3340 3126 3153 3249 3278
400 1040 375 10000 2807 2039 2510 1842 2701 1971
480 1040 375 10000 2484 2490 2222 2229 2391 2397
560 1040 375 10000 2525 2541 2257 2273 2428 2444
640 1040 375 10000 2411 2424 2186 2198 2332 2344
720 1040 375 10000 2516 2539 2278 2296 2436 2459
800 1040 375 10000 2439 2457 2219 2236 2371 2389
880 1040 375 10000 2395 2413 2205 2222 2331 2348
960 1040 375 10000 2478 2506 2306 2333 2415 2443
1040 1120 375 10000 2542 2566 2373 2397 2490 2514
1120 1120 375 10000 3224 3251 3046 3072 3171 3198
1200 1120 375 10000 3227 3257 3057 3086 3173 3203
1280 1120 375 10000 3234 3264 3068 3097 3184 3214
1360 1120 375 10000 3347 3373 3187 3211 3297 3322
1440 1120 375 10000 3273 3305 3093 3123 3215 3245
1520 1120 375 10000 3306 3331 3134 3158 3239 3264
1600 1120 375 10000 3268 3290 3105 3127 3212 3234
1680 1120 375 10000 3387 3411 3194 3217 3329 3352
1760 1120 375 10000 3324 3346 3145 3165 3257 3278
1840 1120 375 10000 3351 3379 3168 3195 3287 3315
1920 1120 375 10000 3397 3408 3222 3232 3337 3348
2000 1120 375 10000 3313 3332 3145 3163 3241 3259
400 1120 375 10000 2888 2070 2607 1882 2796 2009
480 1120 375 10000 2473 2482 2201 2211 2376 2386
560 1120 375 10000 2516 2539 2242 2265 2415 2438
640 1120 375 10000 2419 2432 2182 2195 2342 2355
720 1120 375 10000 2475 2493 2227 2245 2405 2423
800 1120 375 10000 2459 2479 2250 2268 2395 2414
880 1120 375 10000 2404 2417 2191 2204 2327 2340
960 1120 375 10000 2363 2391 2197 2223 2306 2333
1040 1200 375 10000 2444 2462 2262 2279 2386 2403
1120 1200 375 10000 2462 2479 2277 2292 2395 2412
1200 1200 375 10000 3207 3229 3047 3068 3153 3174
1280 1200 375 10000 3222 3242 3088 3107 3168 3188
1360 1200 375 10000 3281 3312 3113 3142 3236 3267
1440 1200 375 10000 3272 3299 3116 3142 3224 3251
1520 1200 375 10000 3320 3350 3168 3195 3254 3282
1600 1200 375 10000 3210 3243 3050 3084 3157 3190
1680 1200 375 10000 3258 3284 3107 3133 3203 3229
1760 1200 375 10000 3322 3345 3150 3170 3262 3283
1840 1200 375 10000 3321 3349 3165 3192 3267 3295
1920 1200 375 10000 3324 3351 3149 3176 3271 3298
2000 1200 375 10000 3277 3304 3124 3149 3226 3253
400 1200 375 10000 2859 2031 2560 1829 2753 1965
480 1200 375 10000 2604 2604 2319 2322 2512 2512
560 1200 375 10000 2500 2515 2252 2266 2426 2440
640 1200 375 10000 2507 2528 2234 2255 2433 2454
720 1200 375 10000 2504 2526 2260 2282 2430 2452
800 1200 375 10000 2499 2520 2283 2304 2426 2447
880 1200 375 10000 2466 2481 2268 2283 2402 2417
960 1200 375 10000 2487 2510 2294 2316 2420 2442
1040 1280 375 10000 2415 2443 2235 2260 2365 2392
1120 1280 375 10000 2410 2431 2238 2258 2352 2372
1200 1280 375 10000 2397 2416 2239 2257 2336 2354
1280 1280 375 10000 3247 3265 3110 3127 3202 3219
1360 1280 375 10000 3142 3165 3020 3041 3108 3129
1440 1280 375 10000 3223 3257 3061 3093 3175 3208
1520 1280 375 10000 3159 3190 3027 3056 3117 3147
1600 1280 375 10000 3234 3253 3074 3093 3179 3198
1680 1280 375 10000 3225 3251 3087 3113 3182 3208
1760 1280 375 10000 3247 3269 3093 3116 3206 3228
1840 1280 375 10000 3264 3294 3127 3157 3228 3258
1920 1280 375 10000 3289 3323 3144 3176 3255 3288
2000 1280 375 10000 3127 3150 3018 3039 3095 3118
400 1280 375 10000 2890 2041 2575 1829 2800 1980
480 1280 375 10000 2520 2521 2239 2241 2425 2427
560 1280 375 10000 2548 2570 2258 2281 2443 2465
640 1280 375 10000 2478 2500 2230 2252 2394 2416
720 1280 375 10000 2530 2555 2305 2328 2455 2479
800 1280 375 10000 2584 2606 2336 2356 2514 2534
880 1280 375 10000 2481 2500 2274 2293 2404 2423
960 1280 375 10000 2414 2437 2212 2232 2342 2364
1040 1360 375 10000 2385 2406 2196 2217 2329 2349
1120 1360 375 10000 2450 2472 2278 2298 2396 2417
1200 1360 375 10000 2390 2415 2232 2257 2347 2372
1280 1360 375 10000 2412 2435 2280 2304 2375 2399
1360 1360 375 10000 3137 3156 3005 3022 3095 3113
1440 1360 375 10000 3135 3161 3012 3038 3090 3116
1520 1360 375 10000 3117 3131 2984 2998 3070 3084
1600 1360 375 10000 3167 3192 3046 3070 3129 3153
1680 1360 375 10000 3222 3242 3090 3110 3181 3201
1760 1360 375 10000 3224 3251 3104 3130 3180 3207
1840 1360 375 10000 3145 3173 3040 3068 3108 3135
1920 1360 375 10000 3173 3203 3054 3080 3142 3172
2000 1360 375 10000 3265 3291 3136 3161 3227 3253
400 1360 375 10000 2826 1979 2508 1767 2719 1912
480 1360 375 10000 2617 2637 2336 2357 2515 2536
560 1360 375 10000 2590 2610 2328 2347 2506 2526
640 1360 375 10000 2515 2538 2261 2284 2437 2460
720 1360 375 10000 2570 2584 2311 2324 2488 2502
800 1360 375 10000 2501 2523 2286 2306 2423 2445
880 1360 375 10000 2517 2535 2321 2337 2455 2473
960 1360 375 10000 2522 2538 2317 2333 2452 2468
1040 1440 375 10000 2438 2458 2252 2270 2374 2393
1120 1440 375 10000 2428 2445 2246 2264 2366 2384
1200 1440 375 10000 2355 2375 2200 2220 2307 2328
1280 1440 375 10000 2355 2381 2204 2228 2306 2332
1360 1440 375 10000 2495 2501 2371 2378 2456 2463
1440 1440 375 10000 3155 3181 3056 3082 3125 3151
1520 1440 375 10000 3145 3170 3037 3061 3103 3128
1600 1440 375 10000 3161 3180 3046 3063 3130 3149
1680 1440 375 10000 3195 3208 3072 3085 3161 3174
1760 1440 375 10000 3089 3111 2989 3008 3059 3080
1840 1440 375 10000 3284 3302 3179 3196 3244 3262
1920 1440 375 10000 3197 3219 3073 3095 3162 3184
2000 1440 375 10000 3260 3290 3146 3177 3223 3253
400 1440 375 10000 2800 1959 2500 1748 2696 1892
480 1440 375 10000 2526 2531 2263 2270 2432 2437
560 1440 375 10000 2551 2570 2278 2296 2459 2477
640 1440 375 10000 2575 2592 2309 2326 2480 2497
720 1440 375 10000 2485 2513 2224 2250 2401 2428
800 1440 375 10000 2568 2585 2321 2338 2481 2498
880 1440 375 10000 2546 2561 2320 2335 2465 2480
960 1440 375 10000 2467 2492 2270 2294 2401 2425
1040 1520 375 10000 2493 2519 2324 2351 2430 2456
1120 1520 375 10000 2455 2482 2292 2314 2401 2427
1200 1520 375 10000 2434 2447 2278 2290 2384 2396
1280 1520 375 10000 2361 2375 2207 2220 2304 2318
1360 1520 375 10000 2441 2458 2293 2308 2391 2408
1440 1520 375 10000 2516 2534 2391 2409 2472 2489
1520 1520 375 10000 3063 3089 2969 2995 3032 3057
1600 1520 375 10000 3141 3154 3027 3042 3095 3109
1680 1520 375 10000 3067 3073 2960 2967 3037 3043
1840 1520 375 10000 3084 3096 2976 2990 3043 3055
1920 1520 375 10000 3100 3114 3007 3022 3065 3080
2000 1520 375 10000 3120 3140 3014 3032 3083 3102
400 1520 375 10000 2952 2098 2606 1847 2847 2021
480 1520 375 10000 2620 2630 2336 2348 2516 2527
560 1520 375 10000 2592 2614 2290 2312 2506 2528
640 1520 375 10000 2584 2613 2365 2393 2507 2536
720 1520 375 10000 2536 2555 2291 2308 2447 2466
800 1520 375 10000 2546 2561 2305 2320 2458 2473
880 1520 375 10000 2460 2473 2283 2295 2408 2420
960 1520 375 10000 2537 2558 2359 2378 2486 2506
1040 1600 375 10000 2508 2529 2324 2342 2450 2471
1120 1600 375 10000 2505 2529 2334 2359 2443 2468
1200 1600 375 10000 2496 2527 2318 2348 2430 2461
1280 1600 375 10000 2391 2401 2241 2250 2332 2341
1360 1600 375 10000 2315 2329 2192 2205 2280 2294
1440 1600 375 10000 2355 2360 2214 2216 2302 2305
1520 1600 375 10000 2391 2397 2267 2273 2345 2351
1600 1600 375 10000 3047 3055 2945 2952 3010 3019
1680 1600 375 10000 2957 2968 2878 2889 2937 2948
1760 1600 375 10000 3080 3085 2980 2988 3049 3055
1840 1600 375 10000 3080 3084 2969 2977 3037 3042
1920 1600 375 10000 3110 3111 3014 3017 3075 3076
2000 1600 375 10000 3143 3149 3051 3057 3118 3123
400 1600 375 10000 2848 1973 2548 1776 2745 1908
480 1600 375 10000 2618 2613 2309 2308 2515 2511
560 1600 375 10000 2552 2570 2266 2284 2445 2463
640 1600 375 10000 2559 2582 2298 2321 2472 2495
720 1600 375 10000 2596 2619 2351 2373 2510 2533
800 1600 375 10000 2641 2660 2423 2442 2571 2590
880 1600 375 10000 2633 2654 2407 2425 2550 2570
960 1600 375 10000 2527 2556 2323 2351 2456 2484
1040 1680 375 10000 2559 2578 2357 2376 2500 2519
1120 1680 375 10000 2591 2613 2416 2439 2535 2557
1200 1680 375 10000 2481 2506 2310 2334 2427 2452
1280 1680 375 10000 2495 2501 2349 2354 2438 2443
1360 1680 375 10000 2454 2461 2302 2310 2415 2421
1440 1680 375 10000 2397 2406 2284 2291 2367 2374
1520 1680 375 10000 2402 2395 2297 2292 2366 2362
1600 1680 375 10000 2393 2372 2294 2275 2354 2335
1760 1680 375 10000 3019 3011 2935 2928 2990 2984
1840 1680 375 10000 3022 3007 2928 2916 2991 2977
1920 1680 375 10000 2965 2955 2876 2872 2940 2930
2000 1680 375 10000 3061 3038 2981 2960 3037 3014
400 1680 375 10000 2846 1967 2526 1760 2726 1893
480 1680 375 10000 2640 2645 2354 2360 2547 2552
560 1680 375 10000 2537 2554 2238 2254 2427 2443
640 1680 375 10000 2567 2580 2289 2301 2469 2481
720 1680 375 10000 2626 2653 2374 2399 2546 2572
800 1680 375 10000 2562 2582 2302 2322 2471 2491
880 1680 375 10000 2564 2583 2339 2357 2480 2498
960 1680 375 10000 2532 2552 2348 2368 2473 2493
1040 1760 375 10000 2589 2615 2383 2408 2521 2547
1120 1760 375 10000 2564 2573 2396 2404 2508 2517
1200 1760 375 10000 2495 2509 2331 2343 2443 2456
1280 1760 375 10000 2522 2532 2356 2365 2471 2481
1360 1760 375 10000 2455 2464 2286 2294 2404 2413
1440 1760 375 10000 2549 2546 2412 2410 2505 2502
1520 1760 375 10000 2435 2413 2316 2296 2394 2373
1600 1760 375 10000 2410 2374 2271 2242 2365 2331
1680 1760 375 10000 2429 2415 2321 2308 2397 2383
1760 1760 375 10000 2939 2907 2836 2811 2906 2877
1840 1760 375 10000 3057 3030 2970 2947 3030 3003
1920 1760 375 10000 2933 2882 2843 2796 2894 2845
2000 1760 375 10000 2975 2934 2894 2857 2949 2910
400 1760 375 10000 2875 1981 2550 1773 2764 1915
480 1760 375 10000 2660 2676 2361 2377 2549 2565
560 1760 375 10000 2537 2563 2270 2296 2457 2483
640 1760 375 10000 2657 2670 2394 2407 2576 2589
720 1760 375 10000 2633 2651 2360 2377 2552 2570
800 1760 375 10000 2563 2582 2321 2339 2479 2497
880 1760 375 10000 2626 2642 2422 2438 2560 2576
960 1760 375 10000 2596 2628 2386 2416 2520 2552
1040 1840 375 10000 2525 2550 2329 2354 2454 2480
1120 1840 375 10000 2528 2539 2344 2353 2473 2483
1200 1840 375 10000 2530 2541 2348 2357 2468 2478
1280 1840 375 10000 2532 2548 2371 2387 2483 2500
1360 1840 375 10000 2537 2544 2366 2372 2478 2485
1440 1840 375 10000 2421 2413 2274 2266 2367 2358
1520 1840 375 10000 2479 2442 2342 2310 2436 2401
1600 1840 375 10000 2374 2325 2252 2206 2340 2291
1680 1840 375 10000 2476 2385 2349 2269 2426 2339
1760 1840 375 10000 2505 2428 2387 2320 2464 2389
1920 1840 375 10000 2987 2864 2898 2782 2960 2841
2000 1840 375 10000 2981 2873 2893 2795 2954 2848
400 1840 375 10000 2872 2057 2541 1819 2745 1965
480 1840 375 10000 2543 2556 2249 2263 2447 2460
560 1840 375 10000 2595 2619 2306 2330 2494 2518
640 1840 375 10000 2550 2562 2298 2310 2466 2478
720 1840 375 10000 2587 2612 2333 2358 2506 2531
800 1840 375 10000 2556 2578 2315 2336 2478 2499
880 1840 375 10000 2615 2643 2406 2433 2551 2579
960 1840 375 10000 2561 2576 2366 2380 2492 2507
1040 1920 375 10000 2589 2614 2396 2421 2522 2546
1120 1920 375 10000 2606 2634 2443 2469 2551 2579
1200 1920 375 10000 2551 2569 2366 2384 2486 2504
1280 1920 375 10000 2537 2548 2391 2402 2482 2492
1360 1920 375 10000 2478 2479 2348 2350 2431 2433
1440 1920 375 10000 2550 2511 2432 2397 2505 2469
1520 1920 375 10000 2472 2436 2324 2294 2416 2382
1600 1920 375 10000 2606 2499 2473 2372 2557 2455
1680 1920 375 10000 2542 2437 2413 2320 2504 2404
1760 1920 375 10000 2480 2359 2370 2256 2449 2332
1840 1920 375 10000 2677 2527 2544 2414 2635 2490
1920 1920 375 10000 2890 2708 2790 2627 2867 2689
2000 1920 375 10000 2904 2684 2809 2613 2873 2662
400 1920 375 10000 2844 1956 2541 1762 2744 1891
480 1920 375 10000 2508 2512 2241 2248 2429 2433
560 1920 375 10000 2546 2567 2269 2290 2443 2464
640 1920 375 10000 2615 2635 2340 2359 2533 2553
720 1920 375 10000 2596 2619 2311 2332 2503 2526
800 1920 375 10000 2643 2665 2414 2436 2575 2597
880 1920 375 10000 2624 2638 2403 2417 2559 2573
960 1920 375 10000 2569 2597 2350 2374 2500 2528
1040 2000 375 10000 2615 2633 2409 2427 2539 2557
1120 2000 375 10000 2567 2580 2396 2407 2514 2527
1200 2000 375 10000 2561 2572 2394 2405 2509 2520
1280 2000 375 10000 2588 2597 2431 2439 2535 2544
1360 2000 375 10000 2621 2606 2466 2453 2576 2562
1440 2000 375 10000 2603 2558 2446 2409 2544 2501
1520 2000 375 10000 2662 2590 2527 2463 2616 2549
1600 2000 375 10000 2639 2526 2503 2402 2591 2485
1680 2000 375 10000 2670 2500 2546 2395 2620 2457
1760 2000 375 10000 2616 2379 2485 2273 2567 2339
1840 2000 375 10000 2625 2357 2474 2241 2572 2319
1920 2000 375 10000 2787 2474 2655 2369 2742 2437
2000 2000 375 10000 2989 2647 2877 2575 2946 2621
400 2000 375 10000 2835 2012 2495 1793 2718 1929
480 2000 375 10000 2590 2592 2297 2300 2476 2479
560 2000 375 10000 2567 2584 2291 2308 2480 2497
640 2000 375 10000 2519 2540 2257 2278 2440 2461
720 2000 375 10000 2630 2648 2378 2396 2545 2563
800 2000 375 10000 2627 2655 2409 2437 2556 2584
880 2000 375 10000 2633 2656 2404 2426 2559 2582
960 2000 375 10000 2648 2668 2435 2455 2579 2599
1040 400 375 10000 2746 2023 2436 1799 2643 1949
1120 400 375 10000 2835 2033 2488 1791 2716 1956
1200 400 375 10000 2830 2043 2544 1835 2730 1973
1280 400 375 10000 2792 2034 2501 1825 2684 1955
1360 400 375 10000 2789 2000 2476 1772 2693 1928
1440 400 375 10000 2810 1982 2516 1777 2712 1916
1520 400 375 10000 2881 2091 2558 1871 2742 1993
1600 400 375 10000 2857 2053 2571 1847 2751 1983
1680 400 375 10000 2765 2033 2466 1820 2655 1955
1760 400 375 10000 2847 2069 2528 1853 2737 1996
1840 400 375 10000 2850 2036 2556 1834 2734 1957
1920 400 375 10000 2780 2029 2459 1796 2674 1949
2000 400 375 10000 2854 2037 2549 1825 2739 1953
400 400 375 10000 2720 1874 2432 1682 2622 1810
480 400 375 10000 2645 2295 2373 2072 2546 2217
560 400 375 10000 2827 2366 2522 2113 2727 2290
640 400 375 10000 2720 2149 2427 1923 2616 2076
720 400 375 10000 2670 2065 2399 1859 2573 1992
800 400 375 10000 2741 2042 2466 1849 2658 1981
880 400 375 10000 2808 2082 2504 1869 2693 2004
960 400 375 10000 2778 2035 2486 1824 2676 1967
1040 480 375 10000 2805 2809 2527 2532 2719 2724
1120 480 375 10000 2889 2879 2572 2566 2770 2762
1200 480 375 10000 2902 2903 2583 2588 2810 2814
1280 480 375 10000 2880 2876 2562 2558 2752 2749
1360 480 375 10000 2889 2898 2579 2589 2773 2782
1440 480 375 10000 2802 2807 2491 2499 2698 2703
1520 480 375 10000 2798 2790 2478 2471 2677 2669
1600 480 375 10000 2895 2887 2608 2600 2784 2776
1680 480 375 10000 2792 2789 2495 2496 2686 2685
1760 480 375 10000 2906 2905 2623 2625 2797 2797
1840 480 375 10000 2822 2829 2523 2534 2709 2717
1920 480 375 10000 2746 2746 2470 2470 2660 2660
2000 480 375 10000 2793 2790 2480 2479 2683 2681
400 480 375 10000 2571 2228 2296 1991 2481 2154
480 480 375 10000 2690 2687 2411 2410 2598 2595
560 480 375 10000 2699 2719 2406 2426 2573 2593
640 480 375 10000 2720 2724 2410 2414 2603 2607
720 480 375 10000 2757 2751 2465 2459 2646 2640
800 480 375 10000 2611 2614 2342 2346 2505 2509
880 480 375 10000 2734 2742 2455 2464 2630 2638
960 480 375 10000 2916 2912 2604 2605 2817 2814
1040 560 375 10000 3023 3041 2713 2731 2910 2928
1120 560 375 10000 3079 3095 2781 2797 2971 2987
1200 560 375 10000 3014 3036 2710 2731 2920 2942
1280 560 375 10000 3112 3133 2759 2778 2991 3011
1360 560 375 10000 3036 3054 2773 2792 2936 2955
1440 560 375 10000 3104 3115 2804 2815 2998 3009
1520 560 375 10000 3097 3103 2777 2783 2993 2999
1600 560 375 10000 3083 3100 2779 2797 2975 2993
1680 560 375 10000 3105 3118 2790 2802 2996 3009
1760 560 375 10000 3147 3169 2833 2855 3045 3067
1840 560 375 10000 3109 3120 2808 2819 3005 3016
1920 560 375 10000 3119 3140 2827 2847 3020 3041
2000 560 375 10000 3062 3079 2780 2797 2959 2976
400 560 375 10000 2729 2281 2418 2020 2609 2182
480 560 375 10000 2474 2483 2186 2195 2370 2379
560 560 375 10000 2919 2937 2624 2642 2839 2857
640 560 375 10000 2891 2916 2594 2620 2789 2814
720 560 375 10000 2888 2907 2598 2616 2785 2804
800 560 375 10000 2985 2997 2695 2707 2869 2881
880 560 375 10000 2993 3021 2679 2706 2880 2908
960 560 375 10000 3034 3049 2733 2748 2942 2957
1040 640 375 10000 3076 3085 2796 2805 2982 2991
1120 640 375 10000 3068 3088 2816 2835 2988 3008
1200 640 375 10000 3135 3155 2834 2854 3025 3045
1280 640 375 10000 3220 3236 2915 2931 3128 3144
1360 640 375 10000 3155 3168 2877 2890 3055 3068
1440 640 375 10000 3150 3180 2914 2943 3075 3104
1520 640 375 10000 3174 3189 2902 2916 3092 3106
1600 640 375 10000 3204 3217 2900 2912 3097 3110
1680 640 375 10000 3225 3240 2943 2958 3111 3126
1760 640 375 10000 3212 3228 2914 2928 3108 3122
1840 640 375 10000 3200 3225 2878 2902 3088 3112
1920 640 375 10000 3150 3172 2879 2901 3051 3073
2000 640 375 10000 3228 3242 2924 2936 3132 3146
400 640 375 10000 2824 2317 2488 2043 2701 2218
480 640 375 10000 2459 2470 2182 2193 2367 2378
560 640 375 10000 2368 2383 2093 2108 2260 2275
640 640 375 10000 2982 3001 2686 2704 2868 2887
720 640 375 10000 2901 2924 2605 2628 2812 2835
800 640 375 10000 3119 3144 2833 2857 3024 3049
880 640 375 10000 2998 3016 2740 2757 2897 2914
960 640 375 10000 3070 3091 2832 2853 2988 3009
1040 720 375 10000 3149 3175 2876 2900 3059 3084
1120 720 375 10000 3269 3290 2977 2995 3185 3205
1200 720 375 10000 3198 3222 2928 2951 3103 3126
1280 720 375 10000 3209 3230 2961 2980 3124 3145
1360 720 375 10000 3273 3292 2989 3010 3172 3193
1440 720 375 10000 3283 3304 3029 3050 3197 3218
1520 720 375 10000 3171 3185 2913 2927 3075 3089
1600 720 375 10000 3257 3271 2983 2997 3170 3184
1680 720 375 10000 3244 3271 2960 2985 3156 3183
1760 720 375 10000 3267 3287 3013 3033 3175 3195
1840 720 375 10000 3266 3281 3000 3015 3186 3201
1920 720 375 10000 3244 3260 2978 2994 3161 3177
2000 720 375 10000 3185 3199 2926 2940 3100 3114
400 720 375 10000 2719 2163 2408 1919 2608 2078
480 720 375 10000 2421 2437 2136 2154 2329 2346
560 720 375 10000 2398 2408 2136 2146 2313 2323
640 720 375 10000 2377 2399 2133 2154 2286 2308
720 720 375 10000 3076 3099 2816 2838 2987 3010
800 720 375 10000 3001 3028 2740 2764 2920 2946
880 720 375 10000 3101 3126 2858 2881 3022 3046
960 720 375 10000 3051 3074 2793 2814 2946 2969
1040 800 375 10000 3111 3127 2895 2909 3041 3057
1120 800 375 10000 3289 3316 3043 3067 3210 3234
1200 800 375 10000 3207 3237 2952 2980 3136 3165
1280 800 375 10000 3278 3309 3038 3068 3204 3235
1360 800 375 10000 3244 3260 2975 2989 3147 3162
1440 800 375 10000 3311 3337 3065 3091 3234 3260
1520 800 375 10000 3287 3314 3081 3107 3208 3236
1600 800 375 10000 3274 3303 3015 3041 3186 3214
1680 800 375 10000 3324 3349 3081 3102 3251 3272
1760 800 375 10000 3261 3283 3031 3052 3180 3202
1840 800 375 10000 3314 3339 3076 3099 3235 3259
1920 800 375 10000 3332 3354 3106 3128 3271 3293
2000 800 375 10000 3326 3337 3071 3082 3241 3252
400 800 375 10000 2861 2169 2575 1963 2770 2102
480 800 375 10000 2459 2464 2205 2209 2376 2379
560 800 375 10000 2351 2377 2105 2131 2273 2299
640 800 375 10000 2507 2526 2285 2303 2421 2440
720 800 375 10000 2415 2432 2183 2200 2332 2349
800 800 375 10000 3088 3118 2856 2885 3003 3033
880 800 375 10000 3019 3044 2811 2836 2959 2984
960 800 375 10000 3204 3224 2968 2986 3131 3151
1040 880 375 10000 3188 3215 2961 2987 3105 3131
1120 880 375 10000 3272 3294 3027 3048 3182 3204
1200 880 375 10000 3273 3298 3052 3073 3198 3223
1280 880 375 10000 3277 3298 3068 3089 3201 3222
1360 880 375 10000 3260 3282 3047 3069 3196 3218
1440 880 375 10000 3334 3354 3101 3120 3245 3265
1520 880 375 10000 3297 3329 3080 3111 3237 3268
1600 880 375 10000 3284 3314 3065 3093 3219 3248
1680 880 375 10000 3385 3407 3178 3200 3315 3337
1760 880 375 10000 3274 3289 3038 3054 3204 3220
1840 880 375 10000 3246 3277 3037 3065 3173 3202
1920 880 375 10000 3343 3370 3089 3114 3258 3285
2000 880 375 10000 3355 3385 3159 3187 3304 3333
400 880 375 10000 2827 2066 2534 1870 2725 2002
480 880 375 10000 2502 2510 2240 2249 2413 2421
560 880 375 10000 2506 2534 2228 2254 2404 2432
640 880 375 10000 2467 2484 2239 2256 2390 2407
720 880 375 10000 2521 2554 2273 2303 2430 2463
800 880 375 10000 2500 2520 2256 2275 2413 2433
880 880 375 10000 3180 3203 2962 2983 3095 3117
960 880 375 10000 3146 3164 2916 2934 3065 3083
1040 960 375 10000 3200 3217 2996 3014 3130 3147
1120 960 375 10000 3239 3263 3042 3065 3180 3204
